商品ｺｰﾄﾞ,商品名,商品名索引,単位,上代単価
110070,缶ｷｬｯﾌﾟﾎｰｽﾉﾐ(ﾊﾞｲﾄﾝ),ｶﾝｷｬｯﾌ,本,0
110071,KI-B型 ｻｸｼｮﾝﾎｰｽ,ｻｸｼｮﾝﾎ,本,180
110073,KI-B型ｻｸｼｮﾝﾎｰｽ一式(ﾊﾞｲﾄﾝ仕様),ｻｸｼｮﾝ,ｾｯﾄ,0
110074,KIｽﾄｯﾌﾟﾊﾞﾙﾌﾞ(KIｵﾓﾘ),ｵﾓﾘ,式,3600
110075,ｵｰﾊﾞｰﾎｰﾙ,ｵｰﾊﾞｰﾎ,,3000
110076,EX広角ﾉｽﾞﾙ一式,ｺｳｶｸ,ｾｯﾄ,6500
110077,ﾀﾞｲﾔ-B型ｻｸｼｮﾝﾎｰｽ一式,ｻｸｼｮﾝ,式,0
110078,缶ｷｬｯﾌﾟ　ﾉﾐ,ｶﾝｷｬｯﾌ,個,0
110079,K.Iｼｮｯｸ止ｺﾞﾑ,ｼｮｯｸﾄﾒ,個,600
110080,ｽﾄｯﾌﾟﾊﾞﾙﾌﾞﾈｼﾞｶﾗｰ,ｽﾄｯﾌﾟ,個,0
110081,ｽﾄｯﾌﾟﾊﾞﾙﾌﾞﾋﾟﾝ,ｽﾄｯﾌﾟ,個,0
110084,EXｼｮｯｸ止ｶﾊﾞｰ,ｼｮｯｸﾄﾒ,個,1200
110085,KIﾉｽﾞﾙｽﾋﾟﾝﾅｰ,ﾉｽﾞﾙｽ,本,2000
110086,KI-30Bｾﾐﾛﾝｸﾞﾉｽﾞﾙ付,KI30B,台,0
110087,ﾎﾟﾝﾌﾟ一式(ﾕﾆｽｰﾊﾟｰ用),ﾎﾟﾝﾌﾟｲ,個,0
110088,ﾃﾌﾛﾝﾎｰｽ　φ3X5,ﾃﾌﾛﾝ,M,0
110089,ﾏｸﾞﾈｯﾄ取付ﾋﾞｽ(ﾅｯﾄ付),ﾏｸﾞﾈｯﾄ,ｾｯﾄ,0
110090,KIﾉｽﾞﾙﾊﾟｯｷﾝ,ﾉｽﾞﾙﾊﾟ,個,200
110091,ﾕﾆｽｰﾊﾟｰ用ｽｲｯﾁ,ｽｲｯﾁ,個,0
110092,ｻｸｼｮﾝﾎｰｽ(牛若ｶﾞﾝ用),ｻｸｼｮﾝ,本,0
110093,ｽｰﾊﾟｰﾌﾛﾝ　φ3X5　（1M）,ﾊﾞｲﾄﾝﾎ,M,1200
110094,EX台座,ﾀﾞｲｻﾞ,個,500
110095,EXﾎﾟﾝﾌﾟｽﾌﾟﾘﾝｸﾞ,ﾎﾟﾝﾌﾟｽ,個,600
110096,ﾊﾞﾙﾌﾞＥﾘﾝｸﾞ,ｲｰﾘﾝｸﾞ,個,100
110097,3Lﾎﾟﾘ容器(角),ﾎﾟﾘﾖｳｷ,個,1000
110098,ｳﾚﾀﾝﾎｰｽ(3ﾊﾟｲX5),ｳﾚﾀﾝﾎ,M,500
110099,ﾎﾟﾘｷｬｯﾌﾟｼﾞｮｲﾝﾄ金具,ｼﾞｮｲﾝﾄ,個,0
110101,Wﾎ-ｽ(2M)　3本,Wﾎｰｽ,本,4000
110102,EXﾊﾞﾙﾌﾞｺｰﾝｾｯﾄ,ﾊﾞﾙﾌﾞｺ,ｾｯﾄ,800
110103,EXｾｯﾄﾘﾝｸﾞ,ｾｯﾄﾘﾝｸ,個,200
110104,EX変更ｽﾋﾟﾝﾅｰ,ﾉｽﾞﾙｽ,本,2000
110105,EXｽﾎﾟｯﾄﾘﾝｸﾞ(ﾎﾟﾝﾌﾟ調整ﾈｼﾞ付),ｽﾎﾟｯﾄ,個,1000
110106,EXﾎﾟﾝﾌﾟﾛｯｸﾈｼﾞ,ﾎﾟﾝﾌﾟﾛ,個,200
110107,KIｻｸｼｮﾝｽｸﾘｭｰ,ｻｸｼｮﾝｽ,個,1000
110108,EX ﾎﾟﾝﾌﾟ調整ﾈｼﾞ,ﾎﾟﾝﾌﾟﾁ,個,0
110109,EXﾎﾟﾝﾌﾟｼﾘﾝﾀﾞｰ,ﾎﾟﾝﾌﾟｼ,個,7000
110110,EXｼｮｯｸ止ｺﾞﾑ,ｼｮｯｸﾄﾒ,個,600
110111,EXﾉｽﾞﾙﾈｼﾞｶﾗｰ,ﾉｽﾞﾙﾈｼ,個,700
110112,ｶﾞﾝ取付ｽﾀﾝﾄﾞ一式,ｽﾀﾝﾄﾞ,式,0
110113,ｶｰﾌﾞﾉｽﾞﾙ一式　(ﾐｽﾄﾗﾙ),ﾉｽﾞﾙ,ｾｯﾄ,0
110114,EX ｽﾌﾟﾚｰｷｬｯﾌﾟ,ｽﾌﾟﾚｰｷ,個,0
110115,EXｽｲｯﾁ押ﾎﾞﾀﾝｶﾗｰ,ｽｲｯﾁｵｼ,個,500
110117,KIｾﾐﾛﾝｸﾞﾉｽﾞﾙ一式,ﾉｽﾞﾙ,ｾｯﾄ,0
110118,EXﾉｽﾞﾙｷｬｯﾌﾟ,ﾉｽﾞﾙｷｬ,個,0
